timestamp,subject,position,word,recalled
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,1,fleur,1
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,2,maison,1
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,3,nuage,1
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,4,montagne,0
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,5,verre,0
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,6,table,0
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,7,arbre,1
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,8,train,0
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,9,clé,1
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,10,mer,0
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,11,stylo,0
2026-02-05T15:19:39.359151,2026-02-05T15:19:39.359151,12,feu,0
